WKT;route_short_name;route_long_name;direction_id;trip_headsign;headsign;trip_id;stop_sequence;stop_name
"MULTIPOINT (-118.49763590000001 34.0185201)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;28;4Th Sb & Wilshire Fs
"MULTIPOINT (-118.4949212 34.0161266)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;29;4Th Sb & Santa Monica Fs
"MULTIPOINT (-118.4937627 34.015149)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;30;4Th Sb & Broadway Ns
"MULTIPOINT (-118.4928415 34.0143598)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;31;4Th Sb & Santa Monica Place Co
"MULTIPOINT (-118.4920169 34.0113105)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;32;Main Sb & City Hall Mb
"MULTIPOINT (-118.4875629 34.0099861)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;33;4Th Nb & Pico Fs
"MULTIPOINT (-118.489105 34.011378)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Civic Center;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Civic Center;581173;34;4Th Nb & Civic Ctr Ns 3
"MULTIPOINT (-118.4403651 34.0689551)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;1;Charles E Young Term A
"MULTIPOINT (-118.4385593 34.0710292)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;1;Ucla Terminal
"MULTIPOINT (-118.4391208 34.0693345)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;2;Hilgard Sb & Westholme Fs
"MULTIPOINT (-118.4391208 34.0693345)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;2;Hilgard Sb & Westholme Fs
"MULTIPOINT (-118.4394437 34.0669549)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;3;Hilgard Sb & Manning Dr Fs
"MULTIPOINT (-118.4394437 34.0669549)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;3;Hilgard Sb & Manning Dr Fs
"MULTIPOINT (-118.44135470000001 34.0641377)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;4;Le Conte Wb & Hilgard Fs
"MULTIPOINT (-118.44135470000001 34.0641377)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;4;Le Conte Wb & Hilgard Fs
"MULTIPOINT (-118.442829 34.0637914)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;5;Le Conte Wb & Tiverton Fs
"MULTIPOINT (-118.442829 34.0637914)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;5;Le Conte Wb & Tiverton Fs
"MULTIPOINT (-118.4454548 34.0627881)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;6;Westwood Sb & Weyburn Ns
"MULTIPOINT (-118.4454548 34.0627881)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;6;Westwood Sb & Weyburn Ns
"MULTIPOINT (-118.444879 34.0598913)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;7;Westwood Sb & Lindbrook Ns
"MULTIPOINT (-118.444879 34.0598913)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;7;Westwood Sb & Lindbrook Ns
"MULTIPOINT (-118.447519 34.0579795)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;8;Wilshire Wb & Veteran Ns
"MULTIPOINT (-118.447519 34.0579795)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;8;Wilshire Wb & Veteran Ns
"MULTIPOINT (-118.4556903 34.0546126)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;9;Wilshire Wb & Bonsall Ns
"MULTIPOINT (-118.4556903 34.0546126)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581169;9;Wilshire Wb & Bonsall Ns
"MULTIPOINT (-118.4596499 34.0507899)";2;Wilshire Blvd - Venice;1;Line 2 Santa Monica / 4th and Santa Monica;2 - Wilshire Blvd - Venice - 1 - Line 2 Santa Monica / 4th and Santa Monica;581026;10;Wilshire Wb & San Vicente Fs
